root,count,forms
أله,2851,ٱللَّهُ(983);ٱللَّهِ(978);ٱللَّهَ(592);لَّهِ(149);إِلَٰهَ(42);إِلَٰهٌ(18);إِلَٰهًا(16);إِلَٰهٍ(14);ءَالِهَةً(12);إِلَٰهُ(11);ءَالِهَتِ(8);ءِلَٰهٌ(5);ءَالِهَةٌ(4);ءَالِهَتَ(4);إِلَٰهِ(4);إِلَٰهَيْنِ(2);آللَّهُ(2);ـَٔالِهَتِ(2);ءَالِهَةًۢ(1);ءَالِهَةَ(1);ءَالِهَتُ(1);أَٰلِهَتُ(1);إِلَٰهٍۭ(1)
قول,1722,قَالَ(531);قَالُ(332);قُلْ(281);يَقُولُ(181);قُل(61);قِيلَ(49);قُلِ(36);تَقُولُ(33);قَالَتْ(28);قَوْلِ(28);قَوْلُ(24);قَوْلًا(18);قَوْلَ(16);قَالَتِ(13);قُولُ(12);يَقُولَ(12);نَقُولُ(9);أَقُولُ(7);تَقُولَ(7);أَقُل(5);قَٰلَ(4);قَآئِلٌ(3);قَوْلٌ(3);قُولَ(3);قِيلًا(3);يُقَالُ(3);أَقُولَ(2);تَقَوَّلَ(2);قَالَت(2);قَوْلٍ(2);أَقَاوِيلِ(1);أَقُلْ(1);تَقُل(1);قَآئِلُ(1);قَآئِلِينَ(1);قَوْلًۢا(1);قُولِ(1);قِيلِ(1);نَقُولَ(1);نَّقُولَ(1);نَّقُولُ(1);يَقُلْ(1)
كون,1390,كَانَ(427);كَانُ(269);كُن(269);كُ(85);يَكُونُ(47);تَكُونَ(41);تَكُونُ(40);كَانَتْ(29);يَكُونَ(27);يَكُن(24);تَكُن(16);أَكُونَ(11);كُونُ(10);نَكُونَ(10);يَكُ(9);تَكُ(7);مَكَانَ(6);أَكُن(5);مَكَانًا(5);مَكَانَتِ(5);تَكُنْ(4);كَانَت(4);كَانَتِ(4);مَكَانٍ(4);مَّكَانًا(4);مَّكَانٍۭ(4);نَكُن(4);يَكُنِ(4);يَكُنْ(3);مَّكَانٍ(2);مَّكَانَ(2);نَكُ(2);نَّكُونَ(2);أَكُ(1);أَكُنۢ(1);تَكُنۢ(1);كُونِ(1);يَكُونً(1)
ربب,980,رَبِّ(479);رَبَّ(185);رَبُّ(157);رَّبِّ(126);رَّبُّ(13);رَّبَّ(8);أَرْبَابًا(3);رَّبَّٰنِيُّونَ(2);أَرْبَابٌ(1);رَبَٰٓئِبُ(1);رَبًّا(1);رَبٌّ(1);رَبَّٰنِيِّۦنَ(1);رِبِّيُّونَ(1);رَّبٍّ(1)
أمن,879,ءَامَنُ(258);يُؤْمِنُ(125);مُؤْمِنِينَ(119);مُؤْمِنُونَ(33);ءَامَنَ(32);ءَامَ(31);مُّؤْمِنِينَ(25);إِيمَٰنِ(23);تُؤْمِنُ(21);مُؤْمِنَٰتِ(15);ءَامَن(13);ءَامِنُ(13);أَمِينٌ(9);ءَامِنِينَ(8);أَمِن(7);إِيمَٰنًا(7);إِيمَٰنَ(7);إِيمَٰنُ(7);مُؤْمِنًا(7);مُؤْمِنٌ(7);يُؤْمِنۢ(7);ءَامِنًا(6);نُؤْمِنُ(6);نُّؤْمِنَ(6);ـَٔامِنُ(5);ءَامَنَتْ(4);أَمَٰنَٰتِ(4);أَمِنَ(4);مُؤْمِنٍ(4);مُؤْمِنَٰتُ(4);مُّؤْمِنٌ(3);مُّؤْمِنَةٍ(3);يَأْمَنُ(3);ءَامِنُونَ(2);أَمَنَةً(2);أَمِنُ(2);أَمِينٍ(2);أَمِينُ(2);أَمْنًا(2);أَمْنِ(2);تَأْمَنْ(2);تُؤْمِن(2);ـَٔامَ(2);ـَٔامَنَ(2);مُّؤْمِنُونَ(2);نُؤْمِنَ(2);يُؤْمِ(2);يُؤْمِنَ(2);ءَامِنَةً(1);ءَامِنْ(1);أَمَانَةَ(1);أَمَٰنَتَ(1);أَمِينِ(1);أَمْنُ(1);إِيمَٰنٍ(1);تَأْمَ۫نَّ(1);تُؤْمِنَ(1);ـَٔامَنَت(1);ـَٔامَنُ(1);مَأْمَنَ(1);مَأْمُونٍ(1);مُؤْمِنَةٍ(1);مُؤْمِنَيْنِ(1);مُؤْمِنَٰتٍ(1);مُؤْمِنُ(1);مُّؤْمِنَةً(1);مُّؤْمِنَةٌ(1);مُّؤْمِنَٰتٌ(1);مُّؤْمِنَٰتٍ(1);يُؤْمِن(1);ٱؤْتُمِنَ(1)
علم,854,يَعْلَمُ(178);تَعْلَمُ(79);عَلِيمٌ(74);عَٰلَمِينَ(73);أَعْلَمُ(58);عِلْمٍ(29);عَلِيمُ(28);عَلِيمٌۢ(27);ٱعْلَمُ(27);عَلِيمًا(22);عِلْمِ(19);يَعْلَمَ(19);عَلِمْ(17);عِلْمُ(16);عَلَّمَ(14);عَلِمَ(13);عِلْمًا(13);عِلْمَ(13);عِلْمٌ(12);يُعَلِّمُ(10);عَلَّمْ(8);نَعْلَمُ(8);عَٰلِمُ(7);عَلِيمٍ(6);عَٰلِمِ(5);مَّعْلُومٍ(5);نَعْلَمَ(5);تَعْلَمْ(4);عَلِيمِ(4);عَلَّٰمُ(4);عَٰلِمِينَ(4);مَّعْلُومٌ(4);يَعْلَمْ(4);ٱعْلَمْ(4);تُعَلِّمُ(3);عُلِّمْ(3);يَعْلَمِ(3);أَعْلَمَ(2);أَعْلَٰمِ(2);تَعْلَمَ(2);عَلِمَتْ(2);عَلِمُ(2);عُلَمَٰٓؤُا۟(2);عِلْمٍۭ(2);مَعْلُومِ(2);يَتَعَلَّمُ(2);تُعَلِّمَ(1);تَّعْلَمُ(1);عَلَٰمَٰتٍ(1);عَلِمَتِ(1);عَٰلِمَ(1);عَٰلِمُونَ(1);عِلْمًۢا(1);مُعَلَّمٌ(1);مَّعْلُومَٰتٌ(1);مَّعْلُومَٰتٍ(1);نُعَلِّمَ(1);يَعْلَم(1);يُعَلِّمَ(1);يُعْلَمَ(1)
قوم,660,قَوْمِ(152);قَوْمٍ(74);قِيَٰمَةِ(70);قَوْمَ(58);قَوْمًا(35);قَوْمُ(30);قَوْمٌ(26);مُّسْتَقِيمٍ(20);أَقِيمُ(16);أَقَامُ(10);تَقُومُ(10);يُقِيمُ(9);يَقُومُ(6);أَقِمِ(5);قَوْمًۢا(5);قِيَٰمًا(5);مُّسْتَقِيمٌ(5);مُّقِيمٌ(5);أَقِمْ(4);قَامُ(4);قَآئِمًا(4);مُّسْتَقِيمًا(4);ٱسْتَقَٰمُ(4);أَقَامَ(3);أَقْوَمُ(3);تَقُمْ(3);تَقُومَ(3);قَآئِمٌ(3);قَآئِمَةً(3);قَوْمٍۭ(3);قَيِّمُ(3);مَقَامٍ(3);مَقَامَ(3);مُسْتَقِيمَ(3);مَّقَامِ(3);يُقِيمَ(3);أَقَمْ(2);قَآئِمَةٌ(2);قَوَّٰمِينَ(2);قَيُّومُ(2);قُمْ(2);مُسْتَقِيمًا(2);مُسْتَقِيمِ(2);مُقَامًا(2);مُّقِيمٍ(2);يَقُومَ(2);ٱسْتَقِمْ(2);ٱسْتَقِيمُ(2);أَقْوَمَ(1);إِقَامَ(1);إِقَامَتِ(1);إِقَامِ(1);تَقْوِيمٍ(1);تُقِيمُ(1);قَامَ(1);قَآئِمًۢا(1);قَآئِمُونَ(1);قَآئِمِينَ(1);قَوَامًا(1);قَوَّٰمُونَ(1);قَيُّومِ(1);قَيِّمًا(1);قَيِّمَةٌ(1);قَيِّمَةِ(1);قَيِّمِ(1);قُمِ(1);قُومُ(1);قِيَامٌ(1);قِيَامٍ(1);قِيَمًا(1);مَقَامًا(1);مَقَامٌ(1);مَقَامِ(1);مُسْتَقِيمٌ(1);مُقَامَ(1);مُقَامَةِ(1);مُقِيمَ(1);مُقِيمِى(1);مُقِيمِينَ(1);مَّقَامًا(1);مَّقَامُ(1);نُقِيمُ(1);يَسْتَقِيمَ(1);ٱسْتَقِيمَ(1)
أيي,597,أَيُّ(163);ءَايَٰتِ(116);ـَٔايَٰتِ(99);ءَايَةً(43);أَىِّ(40);ءَايَٰتٍ(33);ءَايَٰتُ(31);ءَايَةٌ(12);ـَٔايَةٍ(12);ءَايَةٍ(11);ءَايَٰتٌ(6);ءَايَٰتٍۭ(6);ءَايَةَ(4);أَىُّ(4);ءَايَتُ(2);ءَايَٰتٌۢ(2);أَىَّ(2);أَيَّتُ(2);ءَايَاتُ(1);ءَايَاتِ(1);ءَايَةًۢ(1);ءَايَةٍۭ(1);ءَايَتَيْنِ(1);أَييِّ(1);أَيًّا(1);أَيَّ(1);أَيُّهَآ(1)
أتي,549,ءَاتَيْ(85);أُوتُ(33);يَأْتِي(30);ءَاتَىٰ(29);يَأْتِ(27);أَتَىٰ(24);يَأْتِيَ(21);يَأْتُ(20);ءَاتُ(16);أُوتِىَ(14);أْتُ(14);يَأْتِىَ(14);تَأْتُ(13);تَأْتِيَ(12);أُوتِي(10);تَأْتِي(10);يُؤْتُ(10);ءَاتِي(9);يُؤْتِ(8);يُؤْتِي(8);ءَاتَ(7);ءَاتِ(7);أَتَيْ(7);أْتِ(7);يَأْتِى(7);ٱئْتُ(7);أَتَ(6);ٱئْتِ(6);أَتَتْ(5);ءَاتِيَةٌ(4);تَأْتِ(4);تُؤْتُ(4);ـَٔاتُ(4);ءَاتَى(3);أَتَى(3);نُؤْتِ(3);نُؤْتِي(3);يُؤْتَ(3);يُؤْتِى(3);يُؤْتِيَ(3);ءَاتٍ(2);ءَاتَتْ(2);أْتِيَ(2);تَأْتِى(2);تَّأْتِي(2);ـَٔاتِ(2);نَأْتِى(2);نَأْتِيَ(2);ءَاتِى(1);ءَاتِيَنَّ(1);أَتَىٰٓ(1);أَتَيَ(1);أُتُ(1);أُوتَ(1);أُوتَيَ(1);أُوتِيَتْ(1);إِيتَآءَ(1);إِيتَآءِ(1);إِيتَآئِ(1);تَأْتُنَّ(1);تَأْتِىَ(1);تُؤْتَ(1);تُؤْتِى(1);تُؤْتِىٓ(1);ـَٔاتَتْ(1);ـَٔاتَىٰ(1);ـَٔاتَيْ(1);ـَٔاتِي(1);مَأْتِيًّا(1);مُؤْتُونَ(1);نَأْتِ(1);نُؤْتَىٰ(1);نَّأْتِيَ(1);نُّؤْتِ(1);يَأْتِىٓ(1);يُؤْتَىٰ(1);يُؤْتَىٰٓ(1);ٱئْتِيَ(1)
كفر,525,كَفَرُ(194);كَٰفِرِينَ(93);كَٰفِرُونَ(36);يَكْفُرُ(23);تَكْفُرُ(19);كَفَرَ(19);كُفْرِ(17);كَفَرْ(13);يَكْفُرْ(9);كُفْرًا(8);كُفَّارَ(7);كُفْرَ(6);كُفَّارِ(5);كُفْرُ(5);كَفُورًا(4);كَفُورٌ(4);كُفَّارٌ(4);كَفُورٍ(3);كُفُورًا(3);كُفَّارُ(3);يُكَفِّرَ(3);يُكَفِّرْ(3);أُكَفِّرَ(2);كَافِرٌ(2);كَافِرُ(2);كَفَّارٌ(2);كَفَّارٍ(2);يُكْفَرُ(2);أَكْفَرَ(1);أَكْفُرَ(1);أَكْفُرُ(1);تَكْفُرْ(1);كَافُورًا(1);كَافِرٍۭ(1);كَافِرَةٌ(1);كَفَرَةُ(1);كَفَرَت(1);كَفَرَتْ(1);كَفُورَ(1);كَفَّارًا(1);كَفَّارَةٌ(1);كَفَّرَ(1);كَفَّرْ(1);كَفَّٰرَةٌ(1);كَفَّٰرَةُ(1);كَفَّٰرَتُ(1);كَفِّرْ(1);كَوَافِرِ(1);كُفِرَ(1);كُفَّارًا(1);كُفَّٰرُ(1);كُفْرٌۢ(1);كُفْرَانَ(1);نَكْفُرُ(1);نُكَفِّرَ(1);نُكَفِّرْ(1);نَّكْفُرَ(1);يُكَفِّرُ(1);ٱكْفُرُ(1);ٱكْفُرْ(1)
